         22690073 function calls (22405082 primitive calls) in 7.792 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 asserters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 autotimeit.py:1(<module>)
        7    0.000    0.000    0.015    0.002 base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:106(ExtensionArray)
        1    0.000    0.000    0.000    0.000 base.py:12(OutputKey)
        1    0.000    0.000    0.000    0.000 base.py:143(NoNewAttributesMixin)
        2    0.000    0.000    0.000    0.000 base.py:150(is_consolidated)
        1    0.000    0.000    0.000    0.000 base.py:16(BaseStringArrayMethods)
        1    0.000    0.000    0.000    0.000 base.py:160(SingleDataManager)
        1    0.000    0.000    0.000    0.000 base.py:1632(ExtensionOpsMixin)
        4    0.000    0.000    0.000    0.000 base.py:1650(name)
        1    0.000    0.000    0.000    0.000 base.py:1695(ExtensionScalarOpsMixin)
        1    0.000    0.000    0.000    0.000 base.py:177(DataError)
        1    0.000    0.000    0.000    0.000 base.py:181(SpecificationError)
        1    0.000    0.000    0.000    0.000 base.py:185(SelectionMixin)
        1    0.000    0.000    0.000    0.000 base.py:202(_maybe_return_indexers)
        2    0.000    0.000    0.000    0.000 base.py:210(interleaved_dtype)
        6    0.000    0.000    0.000    0.000 base.py:229(disallow_kwargs)
   348892    0.070    0.000    0.070    0.000 base.py:2344(is_floating)
        2    0.000    0.000    0.000    0.000 base.py:2596(inferred_type)
        4    0.000    0.000    0.000    0.000 base.py:2603(_is_all_dates)
        1    0.000    0.000    0.000    0.000 base.py:261(Index)
        6    0.000    0.000    0.000    0.000 base.py:2624(_is_multi)
        1    0.000    0.000    0.000    0.000 base.py:276(IndexOpsMixin)
       16    0.000    0.000    0.000    0.000 base.py:286(is_dtype)
        4    0.000    0.000    0.000    0.000 base.py:326(ndim)
        1    0.000    0.000    0.000    0.000 base.py:35(DataManager)
   348892    0.169    0.000    0.609    0.000 base.py:3577(get_loc)
        1    0.000    0.000    0.000    0.000 base.py:39(ExtensionDtype)
       17    0.000    0.000    0.000    0.000 base.py:394(register_extension_dtype)
     12/6    0.000    0.000    0.001    0.000 base.py:397(__new__)
        1    0.000    0.000    0.000    0.000 base.py:417(Registry)
        1    0.000    0.000    0.000    0.000 base.py:433(__init__)
       17    0.000    0.000    0.000    0.000 base.py:436(register)
        4    0.000    0.000    0.000    0.000 base.py:45(__len__)
       22    0.000    0.000    0.000    0.000 base.py:465(find)
       26    0.000    0.000    0.000    0.000 base.py:4820(_values)
        2    0.000    0.000    0.000    0.000 base.py:4846(_get_engine_target)
        2    0.000    0.000    0.000    0.000 base.py:5178(equals)
        4    0.000    0.000    0.000    0.000 base.py:518(<genexpr>)
        2    0.000    0.000    0.000    0.000 base.py:5265(identical)
        4    0.000    0.000    0.000    0.000 base.py:5278(<genexpr>)
        6    0.000    0.000    0.000    0.000 base.py:53(shape)
        6    0.000    0.000    0.000    0.000 base.py:540(_ensure_array)
       18    0.000    0.000    0.000    0.000 base.py:55(<genexpr>)
        6    0.000    0.000    0.000    0.000 base.py:554(_dtype_to_subclass)
   348892    0.167    0.000    0.445    0.000 base.py:5646(_get_values_for_loc)
   348892    0.153    0.000    0.330    0.000 base.py:6284(_maybe_cast_indexer)
        6    0.000    0.000    0.000    0.000 base.py:654(_simple_new)
        6    0.000    0.000    0.001    0.000 base.py:672(_with_infer)
   139486    0.028    0.000    0.038    0.000 base.py:6987(ensure_index)
   139492    0.038    0.000    0.079    0.000 base.py:7082(maybe_extract_name)
        6    0.000    0.000    0.000    0.000 base.py:7106(_maybe_cast_data_without_dtype)
        2    0.000    0.000    0.000    0.000 base.py:744(__iter__)
        2    0.000    0.000    0.000    0.000 base.py:803(is_)
        8    0.000    0.000    0.000    0.000 base.py:834(_reset_identity)
        2    0.000    0.000    0.000    0.000 base.py:845(_engine)
   278964    0.053    0.000    0.073    0.000 base.py:884(__len__)
        6    0.000    0.000    0.000    0.000 base.py:937(dtype)
        1    0.000    0.000    0.000    0.000 base.py:96(PandasObject)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base_parser.py:1(<module>)
        2    0.000    0.000    0.000    0.000 base_parser.py:1062(_make_date_converter)
        2    0.000    0.000    0.000    0.000 base_parser.py:1154(_process_date_conversion)
        6    0.000    0.000    0.000    0.000 base_parser.py:1289(_is_potential_multi_index)
       12    0.000    0.000    0.000    0.000 base_parser.py:1314(<genexpr>)
        2    0.000    0.000    0.000    0.000 base_parser.py:1318(_validate_parse_dates_arg)
        6    0.000    0.000    0.000    0.000 base_parser.py:1340(is_index_col)
        2    0.000    0.000    0.000    0.000 base_parser.py:176(_validate_parse_dates_presence)
        2    0.000    0.000    0.000    0.000 base_parser.py:220(<setcomp>)
        2    0.000    0.000    0.000    0.000 base_parser.py:232(<listcomp>)
        2    0.000    0.000    0.000    0.000 base_parser.py:240(_has_complex_date_col)
        2    0.000    0.000    0.000    0.000 base_parser.py:269(_extract_multi_indexer_columns)
        2    0.000    0.000    0.000    0.000 base_parser.py:340(_maybe_dedup_names)
        4    0.000    0.000    0.000    0.000 base_parser.py:371(_maybe_make_multi_index_columns)
        2    0.000    0.000    0.000    0.000 base_parser.py:383(_make_index)
        2    0.000    0.000    0.000    0.000 base_parser.py:610(_set_noconvert_dtype_columns)
        1    0.000    0.000    0.000    0.000 base_parser.py:74(ParserBase)
        1    0.000    0.000    0.000    0.000 base_parser.py:75(BadLineHandleMethod)
        2    0.000    0.000    0.000    0.000 base_parser.py:812(_do_date_conversions)
        2    0.000    0.000    0.000    0.000 base_parser.py:83(__init__)
        2    0.000    0.000    0.000    0.000 base_parser.py:832(_check_data_length)
        2    0.000    0.000    0.000    0.000 base_parser.py:920(_validate_usecols_arg)
        1    0.000    0.000    0.000    0.000 bench.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bench_detailed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.001    0.001 blocks.py:1(<module>)
        3    0.000    0.000    0.000    0.000 blocks.py:129(maybe_split)
        1    0.000    0.000    0.000    0.000 blocks.py:1334(EABackedBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:147(Block)
        1    0.000    0.000    0.000    0.000 blocks.py:1470(ExtensionBlock)
        6    0.000    0.000    0.000    0.000 blocks.py:166(_consolidate_key)
        1    0.000    0.000    0.000    0.000 blocks.py:1755(NumpyBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:1759(NumericBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:1764(NDArrayBackedExtensionBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:1853(DatetimeLikeBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:1866(DatetimeTZBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:1877(ObjectBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:1929(CategoricalBlock)
   139478    0.099    0.000    0.188    0.000 blocks.py:1944(maybe_coerce_values)
   139484    0.103    0.000    0.143    0.000 blocks.py:1973(get_block_type)
        2    0.000    0.000    0.000    0.000 blocks.py:2014(new_block_2d)
   139476    0.187    0.000    0.696    0.000 blocks.py:2025(new_block)
   139476    0.097    0.000    0.164    0.000 blocks.py:2039(check_ndim)
        4    0.000    0.000    0.000    0.000 blocks.py:2103(extend_blocks)
        4    0.000    0.000    0.001    0.000 blocks.py:222(get_values)
        8    0.000    0.000    0.000    0.000 blocks.py:244(mgr_locs)
        8    0.000    0.000    0.000    0.000 blocks.py:354(dtype)
        1    0.000    0.000    0.006    0.006 boolean.py:1(<module>)
        1    0.000    0.000    0.000    0.000 boolean.py:252(BooleanArray)
        1    0.000    0.000    0.000    0.000 boolean.py:49(BooleanDtype)
        1    0.000    0.000    0.000    0.000 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:27(BZ2File)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:1(<module>)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:187(close)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:194(_set_noconvert_columns)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:205(<dictcomp>)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:206(<listcomp>)
        2    0.001    0.000    0.169    0.085 c_parser_wrapper.py:215(read)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:304(<listcomp>)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:308(<dictcomp>)
        2    0.000    0.000    0.002    0.001 c_parser_wrapper.py:344(_concatenate_chunks)
        8    0.000    0.000    0.000    0.000 c_parser_wrapper.py:356(<listcomp>)
        8    0.000    0.000    0.000    0.000 c_parser_wrapper.py:358(<setcomp>)
        8    0.000    0.000    0.000    0.000 c_parser_wrapper.py:360(<setcomp>)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:408(ensure_dtype_objs)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:41(CParserWrapper)
        2    0.011    0.005    0.011    0.005 c_parser_wrapper.py:45(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:148(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:154(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:160(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:24(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:293(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:31(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:410(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        4    0.000    0.000    0.000    0.000 calendar.py:53(<lambda>)
        1    0.000    0.000    0.000    0.000 calendar.py:546(different_locale)
        2    0.000    0.000    0.000    0.000 calendar.py:55(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:558(LocaleTextCalendar)
       52    0.000    0.000    0.000    0.000 calendar.py:58(__getitem__)
        1    0.000    0.000    0.000    0.000 calendar.py:589(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:69(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:72(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:74(__init__)
       28    0.000    0.000    0.000    0.000 calendar.py:77(__getitem__)
        1    0.000    0.000    0.000    0.000 cast.py:1(<module>)
   139478    0.237    0.000    0.400    0.000 cast.py:1466(maybe_infer_to_datetimelike)
        4    0.000    0.000    0.000    0.000 cast.py:1711(sanitize_to_nanoseconds)
        2    0.000    0.000    0.000    0.000 cast.py:1789(find_common_type)
        6    0.000    0.000    0.000    0.000 cast.py:1819(<genexpr>)
        4    0.000    0.000    0.000    0.000 cast.py:1828(<genexpr>)
        4    0.000    0.000    0.000    0.000 cast.py:1830(<genexpr>)
        6    0.000    0.000    0.000    0.000 cast.py:1835(<genexpr>)
        6    0.000    0.000    0.000    0.000 cast.py:1960(construct_1d_object_array_from_listlike)
        2    0.000    0.000    0.006    0.003 categorical.py:1(<module>)
        6    0.000    0.000    0.000    0.000 categorical.py:128(_cat_compare_op)
        1    0.000    0.000    0.000    0.000 categorical.py:252(Categorical)
        1    0.000    0.000    0.000    0.000 categorical.py:2589(CategoricalAccessor)
        1    0.000    0.000    0.000    0.000 category.py:1(<module>)
        1    0.000    0.000    0.000    0.000 category.py:57(CategoricalIndex)
        1    0.000    0.000    0.000    0.000 chainmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chainmap.py:10(DeepChainMap)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1996(Chebyshev)
        1    0.000    0.000    0.006    0.006 check.py:1(<module>)
        1    0.000    0.000    0.000    0.000 clipboards.py:1(<module>)
        1    0.000    0.000    0.000    0.000 codecs.py:186(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       30    0.000    0.000    0.001    0.000 codecs.py:319(decode)
       30    0.000    0.000    0.000    0.000 codecs.py:331(getstate)
        6    0.000    0.000    0.004    0.001 common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common.py:1029(_BytesIOWrapper)
        2    0.000    0.000    0.000    0.000 common.py:103(close)
        2    0.000    0.000    0.000    0.000 common.py:1058(_maybe_memory_map)
        4    0.000    0.000    0.000    0.000 common.py:1112(_is_binary_mode)
        1    0.000    0.000    0.000    0.000 common.py:1133(_get_binary_io_classes)
        4    0.000    0.000    0.000    0.000 common.py:1148(needs_i8_conversion)
        4    0.000    0.000    0.000    0.000 common.py:115(ensure_python_int)
       30    0.000    0.000    0.000    0.000 common.py:1240(is_float_dtype)
       20    0.000    0.000    0.000    0.000 common.py:1274(is_bool_dtype)
        2    0.000    0.000    0.000    0.000 common.py:130(is_url)
   139484    0.025    0.000    0.039    0.000 common.py:1416(is_1d_only_ea_dtype)
       30    0.000    0.000    0.000    0.000 common.py:1429(is_extension_array_dtype)
       50    0.000    0.000    0.000    0.000 common.py:145(classes)
       50    0.000    0.000    0.000    0.000 common.py:147(<lambda>)
       24    0.000    0.000    0.000    0.000 common.py:1483(is_ea_or_datetimelike_dtype)
       40    0.000    0.000    0.000    0.000 common.py:150(classes_and_not_datetimelike)
       40    0.000    0.000    0.000    0.000 common.py:155(<lambda>)
       24    0.000    0.000    0.000    0.000 common.py:1552(get_dtype)
        6    0.000    0.000    0.000    0.000 common.py:158(_expand_user)
       90    0.000    0.000    0.000    0.000 common.py:1587(_is_dtype_type)
   348892    0.076    0.000    0.107    0.000 common.py:160(cast_scalar_indexer)
       20    0.000    0.000    0.000    0.000 common.py:161(is_object_dtype)
   139480    0.059    0.000    0.208    0.000 common.py:1721(validate_all_hashable)
   278960    0.057    0.000    0.102    0.000 common.py:1740(<genexpr>)
       30    0.000    0.000    0.000    0.000 common.py:1747(pandas_dtype)
        2    0.000    0.000    0.000    0.000 common.py:177(validate_header_arg)
       52    0.000    0.000    0.000    0.000 common.py:18(unpack_zerodim_and_defer)
        4    0.000    0.000    0.000    0.000 common.py:198(stringify_path)
        2    0.000    0.000    0.000    0.000 common.py:201(all_none)
        4    0.000    0.000    0.000    0.000 common.py:205(<genexpr>)
       12    0.000    0.000    0.000    0.000 common.py:229(asarray_tuplesafe)
        2    0.000    0.000    0.000    0.000 common.py:242(is_fsspec_url)
        2    0.000    0.000    0.000    0.000 common.py:254(_get_filepath_or_buffer)
        2    0.000    0.000    0.000    0.000 common.py:287(maybe_iterable_to_list)
       52    0.000    0.000    0.000    0.000 common.py:31(wrapper)
        2    0.000    0.000    0.000    0.000 common.py:315(is_datetime64_dtype)
   348892    0.057    0.000    0.081    0.000 common.py:346(apply_if_callable)
       52    0.000    0.000    0.000    0.000 common.py:37(_unpack_zerodim_and_defer)
        2    0.000    0.000    0.000    0.000 common.py:389(is_timedelta64_dtype)
        2    0.000    0.000    0.000    0.000 common.py:465(get_compression_method)
       16    0.000    0.000    0.000    0.000 common.py:497(is_categorical_dtype)
        2    0.000    0.000    0.000    0.000 common.py:500(infer_compression)
        2    0.000    0.000    0.000    0.000 common.py:533(is_string_or_object_np_dtype)
   139484    0.042    0.000    0.122    0.000 common.py:552(require_length_match)
        2    0.000    0.000    0.000    0.000 common.py:581(is_dtype_equal)
        2    0.000    0.000    0.000    0.000 common.py:604(get_handle)
        1    0.000    0.000    0.000    0.000 common.py:62(SettingWithCopyError)
        1    0.000    0.000    0.000    0.000 common.py:66(SettingWithCopyWarning)
        1    0.000    0.000    0.000    0.000 common.py:68(IOArgs)
       28    0.000    0.000    0.000    0.000 common.py:680(is_integer_dtype)
        6    0.000    0.000    0.000    0.000 common.py:732(is_signed_integer_dtype)
        6    0.000    0.000    0.000    0.000 common.py:786(is_unsigned_integer_dtype)
        1    0.000    0.000    0.000    0.000 common.py:81(IOHandles)
        1    0.000    0.000    0.000    0.000 common.py:862(_BytesZipFile)
        1    0.000    0.000    0.000    0.000 common.py:931(_MMapWrapper)
        1    0.000    0.000    0.000    0.000 common.py:998(_IOWrapper)
        1    0.000    0.000    0.000    0.000 compat.py:1(<module>)
        3    0.000    0.000    0.004    0.001 concat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 concat.py:362(_Concatenator)
        1    0.000    0.000    0.000    0.000 concat.py:389(JoinUnit)
        1    0.000    0.000    0.001    0.001 config.py:1(<module>)
   139480    0.140    0.000    0.342    0.000 config.py:109(_get_single_key)
   139480    0.076    0.000    0.545    0.000 config.py:127(_get_option)
        1    0.000    0.000    0.000    0.000 config.py:204(DictWrapper)
        1    0.000    0.000    0.000    0.000 config.py:207(__init__)
        1    0.000    0.000    0.000    0.000 config.py:250(CallableDynamicDoc)
        4    0.000    0.000    0.000    0.000 config.py:251(__init__)
   139480    0.057    0.000    0.602    0.000 config.py:255(__call__)
        1    0.000    0.000    0.000    0.000 config.py:405(option_context)
       78    0.000    0.000    0.001    0.000 config.py:437(register_option)
        2    0.000    0.000    0.000    0.000 config.py:512(deprecate_option)
   139480    0.033    0.000    0.033    0.000 config.py:563(_select_options)
   139480    0.097    0.000    0.127    0.000 config.py:581(_get_root)
   278960    0.083    0.000    0.083    0.000 config.py:595(_get_deprecated_option)
   139480    0.029    0.000    0.055    0.000 config.py:622(_translate_key)
   139480    0.036    0.000    0.092    0.000 config.py:634(_warn_if_deprecated)
        1    0.000    0.000    0.000    0.000 config.py:70(DeprecatedOption)
       48    0.000    0.000    0.000    0.000 config.py:722(config_prefix)
       72    0.000    0.000    0.000    0.000 config.py:752(wrap)
       78    0.000    0.000    0.001    0.000 config.py:753(inner)
        1    0.000    0.000    0.000    0.000 config.py:77(RegisteredOption)
        4    0.000    0.000    0.000    0.000 config.py:777(is_type_factory)
       28    0.000    0.000    0.000    0.000 config.py:791(inner)
        9    0.000    0.000    0.000    0.000 config.py:798(is_instance_factory)
       11    0.000    0.000    0.000    0.000 config.py:817(inner)
       20    0.000    0.000    0.000    0.000 config.py:824(is_one_of_factory)
       20    0.000    0.000    0.000    0.000 config.py:826(<listcomp>)
       20    0.000    0.000    0.000    0.000 config.py:827(<listcomp>)
       20    0.000    0.000    0.000    0.000 config.py:829(inner)
        8    0.000    0.000    0.000    0.000 config.py:843(is_nonnegative_int)
        1    0.000    0.000    0.000    0.000 config.py:98(OptionError)
        1    0.000    0.000    0.001    0.001 config_init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 config_init.py:338(is_terminal)
        1    0.000    0.000    0.000    0.000 config_init.py:713(register_plotting_backend_cb)
        1    0.000    0.000    0.000    0.000 console.py:1(<module>)
        2    0.000    0.000    0.000    0.000 construction.py:1(<module>)
        2    0.000    0.000    0.007    0.004 construction.py:102(arrays_to_mgr)
        2    0.000    0.000    0.000    0.000 construction.py:233(mgr_to_mgr)
   139492    0.044    0.000    0.248    0.000 construction.py:379(extract_array)
        2    0.000    0.000    0.011    0.005 construction.py:425(dict_to_mgr)
   139490    0.050    0.000    0.057    0.000 construction.py:438(ensure_wrapped_if_datetimelike)
   139490    0.327    0.000    1.397    0.000 construction.py:470(sanitize_array)
        2    0.000    0.000    0.000    0.000 construction.py:494(<listcomp>)
        2    0.000    0.000    0.000    0.000 construction.py:596(_homogenize)
   139490    0.069    0.000    0.134    0.000 construction.py:627(_sanitize_ndim)
   139490    0.040    0.000    0.052    0.000 construction.py:664(_sanitize_str_dtypes)
   139490    0.039    0.000    0.049    0.000 construction.py:684(_maybe_repeat)
   139490    0.138    0.000    0.557    0.000 construction.py:695(_try_cast)
   139480    0.059    0.000    0.093    0.000 construction.py:802(is_empty_data)
        2    0.000    0.000    0.001    0.000 construction.py:822(create_series_with_explicit_dtype)
       24    0.000    0.000    0.000    0.000 contextlib.py:114(__enter__)
       24    0.000    0.000    0.000    0.000 contextlib.py:123(__exit__)
       19    0.000    0.000    0.000    0.000 contextlib.py:234(contextmanager)
       24    0.000    0.000    0.000    0.000 contextlib.py:261(helper)
        1    0.000    0.000    0.000    0.000 contextlib.py:63(_recreate_cm)
        1    0.000    0.000    0.000    0.000 contextlib.py:75(__call__)
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
       24    0.000    0.000    0.000    0.000 contextlib.py:86(__init__)
        1    0.000    0.000    0.000    0.000 contexts.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contexts.py:218(RNGContext)
        2    0.000    0.000    0.000    0.000 copy.py:107(_copy_immutable)
        3    0.000    0.000    0.000    0.000 copy.py:66(copy)
        2    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
        1    0.000    0.000    0.001    0.001 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:1120(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1141(__init__)
       14    0.000    0.000    0.001    0.000 core.py:116(doc_note)
        1    0.000    0.000    0.000    0.000 core.py:1278(_replace_dtype_fields_recursive)
        1    0.000    0.000    0.000    0.000 core.py:1310(_replace_dtype_fields)
       44    0.000    0.000    0.000    0.000 core.py:132(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:1324(make_mask_descr)
        3    0.000    0.000    0.000    0.000 core.py:1357(getmask)
        1    0.000    0.000    0.000    0.000 core.py:149(MAError)
        1    0.000    0.000    0.000    0.000 core.py:157(MaskError)
        1    0.000    0.000    0.000    0.000 core.py:191(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:192(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:195(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:196(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:2377(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2383(__init__)
        7    0.000    0.000    0.000    0.000 core.py:2549(_arraymethod)
        1    0.000    0.000    0.000    0.000 core.py:2594(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2702(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:2813(__new__)
        2    0.000    0.000    0.000    0.000 core.py:2944(_update_from)
        2    0.000    0.000    0.000    0.000 core.py:2970(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:3119(view)
        4    0.000    0.000    0.000    0.000 core.py:3401(dtype)
        2    0.000    0.000    0.000    0.000 core.py:3417(shape)
        1    0.000    0.000    0.000    0.000 core.py:6231(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:6426(MaskedConstant)
        4    0.000    0.000    0.000    0.000 core.py:6430(__has_singleton)
        1    0.000    0.000    0.000    0.000 core.py:6436(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6454(__array_finalize__)
        2    0.000    0.000    0.000    0.000 core.py:6529(__setattr__)
        1    0.000    0.000    0.000    0.000 core.py:6621(_extrema_operation)
        2    0.000    0.000    0.000    0.000 core.py:6630(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6736(_frommethod)
       26    0.000    0.000    0.000    0.000 core.py:6747(__init__)
       26    0.000    0.000    0.000    0.000 core.py:6752(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:792(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:801(__init__)
        1    0.000    0.000    0.000    0.000 core.py:8083(_convert2ma)
        8    0.000    0.000    0.000    0.000 core.py:8096(__init__)
        8    0.000    0.000    0.000    0.000 core.py:8101(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:817(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:825(__init__)
        1    0.000    0.000    0.000    0.000 core.py:835(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:841(__init__)
        1    0.000    0.000    0.000    0.000 core.py:85(MaskedArrayFutureWarning)
        1    0.000    0.000    0.000    0.000 core.py:856(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:862(__init__)
        1    0.000    0.000    0.000    0.000 core.py:872(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:878(__init__)
        1    0.000    0.000    0.000    0.000 core.py:888(_MaskedUFunc)
       52    0.000    0.000    0.000    0.000 core.py:889(__init__)
        1    0.000    0.000    0.000    0.000 core.py:898(_MaskedUnaryOperation)
       26    0.000    0.000    0.000    0.000 core.py:916(__init__)
        1    0.000    0.000    0.000    0.000 core.py:972(_MaskedBinaryOperation)
       18    0.000    0.000    0.000    0.000 core.py:992(__init__)
        1    0.000    0.000    0.000    0.000 css.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css.py:10(CSSWarning)
        5    0.000    0.000    0.000    0.000 css.py:16(_side_expander)
        1    0.000    0.000    0.000    0.000 css.py:30(CSSResolver)
        1    0.000    0.000    0.000    0.000 csv.py:130(DictWriter)
        1    0.000    0.000    0.000    0.000 csv.py:165(Sniffer)
        1    0.000    0.000    0.000    0.000 csv.py:2(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:23(Dialect)
        1    0.000    0.000    0.000    0.000 csv.py:54(excel)
        1    0.000    0.000    0.000    0.000 csv.py:64(excel_tab)
        1    0.000    0.000    0.000    0.000 csv.py:69(unix_dialect)
        1    0.000    0.000    0.000    0.000 csv.py:80(DictReader)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:173(_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:194(_concrete_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:353(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:364(<dictcomp>)
        3    0.000    0.000    0.001    0.000 dataclasses.py:1012(wrap)
       12    0.000    0.000    0.000    0.000 dataclasses.py:244(__init__)
        1    0.000    0.000    0.000    0.000 dataclasses.py:281(__set_name__)
        3    0.000    0.000    0.000    0.000 dataclasses.py:300(__init__)
       12    0.000    0.000    0.000    0.000 dataclasses.py:322(field)
        9    0.000    0.000    0.000    0.000 dataclasses.py:344(_tuple_str)
        9    0.000    0.000    0.000    0.000 dataclasses.py:353(<listcomp>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:358(_recursive_repr)
       16    0.000    0.000    0.001    0.000 dataclasses.py:377(_create_fn)
       59    0.000    0.000    0.000    0.000 dataclasses.py:391(<genexpr>)
       12    0.000    0.000    0.000    0.000 dataclasses.py:404(_field_assign)
       12    0.000    0.000    0.000    0.000 dataclasses.py:416(_field_init)
       12    0.000    0.000    0.000    0.000 dataclasses.py:470(_init_param)
        3    0.000    0.000    0.000    0.000 dataclasses.py:489(_init_fn)
        3    0.000    0.000    0.000    0.000 dataclasses.py:507(<dictcomp>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:532(<listcomp>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:539(_repr_fn)
        3    0.000    0.000    0.000    0.000 dataclasses.py:543(<listcomp>)
        1    0.000    0.000    0.000    0.000 dataclasses.py:550(_frozen_get_del_attr)
        3    0.000    0.000    0.000    0.000 dataclasses.py:554(<genexpr>)
        7    0.000    0.000    0.000    0.000 dataclasses.py:575(_cmp_fn)
        1    0.000    0.000    0.000    0.000 dataclasses.py:589(_hash_fn)
       24    0.000    0.000    0.000    0.000 dataclasses.py:597(_is_classvar)
       24    0.000    0.000    0.000    0.000 dataclasses.py:605(_is_initvar)
       24    0.000    0.000    0.000    0.000 dataclasses.py:612(_is_type)
       12    0.000    0.000    0.000    0.000 dataclasses.py:671(_get_field)
       15    0.000    0.000    0.000    0.000 dataclasses.py:753(_set_new_attribute)
