['22/04/25', 'Front Lights', '09:49:00', '46 days, 1:33:39']
['22/04/26', 'Front Lights', '09:48:01', '46 days, 11:21:40']
['22/04/27', 'Front Lights', '09:42:00', '46 days, 21:03:40']
['22/04/28', 'Front Lights', '09:39:02', '47 days, 6:42:42']
['22/04/29', 'Front Lights', '09:37:02', '47 days, 16:19:44']
['22/04/30', 'Front Lights', '09:36:02', '48 days, 1:55:46']
['22/05/01', 'Front Lights', '16:42:47', '48 days, 18:38:33']
['22/05/02', 'Front Lights', '09:28:01', '49 days, 4:06:34']
['22/05/03', 'Front Lights', '09:26:01', '49 days, 13:32:35']
['22/05/04', 'Front Lights', '09:26:03', '49 days, 22:58:38']
['22/05/05', 'Front Lights', '09:23:03', '50 days, 8:21:41']
['22/05/06', 'Front Lights', '09:20:03', '50 days, 17:41:44']
['22/01/21', 'Back Yard Lights', '13:59:00', '0 day, 13:59:00']
['22/01/22', 'Back Yard Lights', '13:57:00', '1 day, 3:56:00']
['22/01/23', 'Back Yard Lights', '13:54:00', '1 day, 17:50:00']
['22/01/24', 'Back Yard Lights', '13:53:01', '2 days, 7:43:01']
['22/01/25', 'Back Yard Lights', '13:51:00', '2 days, 21:34:01']
['22/01/26', 'Back Yard Lights', '13:49:06', '3 days, 11:23:07']
['22/01/27', 'Back Yard Lights', '13:47:00', '4 days, 1:10:07']
['22/01/28', 'Back Yard Lights', '13:46:00', '4 days, 14:56:07']
['22/01/29', 'Back Yard Lights', '13:43:00', '5 days, 4:39:07']
['22/01/30', 'Back Yard Lights', '13:40:00', '5 days, 18:19:07']
['22/01/31', 'Back Yard Lights', '13:38:00', '6 days, 7:57:07']
['22/02/01', 'Back Yard Lights', '13:37:01', '6 days, 21:34:08']
['22/02/02', 'Back Yard Lights', '13:35:00', '7 days, 11:09:08']
['22/02/03', 'Back Yard Lights', '13:33:01', '8 days, 0:42:09']
['22/02/04', 'Back Yard Lights', '13:27:00', '8 days, 14:09:09']
['22/02/05', 'Back Yard Lights', '13:27:00', '9 days, 3:36:09']
['22/02/09', 'Back Yard Lights', '13:16:01', '12 days, 6:15:57']
['22/02/10', 'Back Yard Lights', '12:06:36', '12 days, 18:22:33']
['22/02/11', 'Back Yard Lights', '13:10:01', '13 days, 7:32:34']
['22/02/12', 'Back Yard Lights', '13:12:00', '13 days, 20:44:34']
['22/02/13', 'Back Yard Lights', '13:05:59', '14 days, 9:50:33']
['22/02/14', 'Back Yard Lights', '13:05:00', '14 days, 22:55:33']
['22/02/15', 'Back Yard Lights', '13:00:00', '15 days, 11:55:33']
['22/02/16', 'Back Yard Lights', '12:59:01', '16 days, 0:54:34']
['22/02/17', 'Back Yard Lights', '12:55:00', '16 days, 13:49:34']
['22/02/18', 'Back Yard Lights', '12:53:01', '17 days, 2:42:35']
['22/02/19', 'Back Yard Lights', '12:51:01', '17 days, 15:33:36']
['22/02/20', 'Back Yard Lights', '12:49:00', '18 days, 4:22:36']
['22/02/21', 'Back Yard Lights', '12:46:00', '18 days, 17:08:36']
['22/02/22', 'Back Yard Lights', '12:45:00', '19 days, 5:53:36']
['22/02/23', 'Back Yard Lights', '12:42:00', '19 days, 18:35:36']
['22/02/24', 'Back Yard Lights', '12:38:00', '20 days, 7:13:36']
['22/02/25', 'Back Yard Lights', '12:37:00', '20 days, 19:50:36']
['22/02/26', 'Back Yard Lights', '12:33:00', '21 days, 8:23:36']
['22/02/27', 'Back Yard Lights', '12:31:01', '21 days, 20:54:37']
['22/02/28', 'Back Yard Lights', '12:25:20', '22 days, 9:19:57']
['22/03/01', 'Back Yard Lights', '12:24:00', '22 days, 21:43:57']
['22/03/02', 'Back Yard Lights', '12:21:00', '23 days, 10:04:57']
['22/03/03', 'Back Yard Lights', '12:17:00', '23 days, 22:21:57']
['22/03/04', 'Back Yard Lights', '12:13:00', '24 days, 10:34:57']
['22/03/05', 'Back Yard Lights', '12:12:01', '24 days, 22:46:58']
['22/03/06', 'Back Yard Lights', '12:11:00', '25 days, 10:57:58']
['22/03/07', 'Back Yard Lights', '12:04:00', '25 days, 23:01:58']
['22/03/08', 'Back Yard Lights', '12:05:00', '26 days, 11:06:58']
['22/03/09', 'Back Yard Lights', '12:01:00', '26 days, 23:07:58']
['22/03/10', 'Back Yard Lights', '11:56:01', '27 days, 11:03:59']
['22/03/11', 'Back Yard Lights', '11:54:00', '27 days, 22:57:59']
['22/03/12', 'Back Yard Lights', '11:53:00', '28 days, 10:50:59']
['22/03/13', 'Back Yard Lights', '12:49:00', '28 days, 23:39:59']
['22/03/14', 'Back Yard Lights', '11:46:01', '29 days, 11:26:00']
['22/03/15', 'Back Yard Lights', '11:43:00', '29 days, 23:09:00']
['22/03/16', 'Back Yard Lights', '11:41:00', '30 days, 10:50:00']
['22/03/17', 'Back Yard Lights', '11:39:00', '30 days, 22:29:00']
