na,State,Name,Date
["xx",0,"Back Yard Lights","22/01/20T09:03:13"]
["xx",0,"Front Lights","22/01/20T09:04:13"]
["xx",0,"Back Yard Lights","22/01/20T09:04:13"]
["xx",0,"Back Yard Lights","22/01/20T09:05:13"]
["xx",0,"Front Lights","22/01/20T09:05:13"]
["xx",0,"Front Lights","22/01/20T09:06:13"]
["xx",0,"Back Yard Lights","22/01/20T09:06:13"]
["xx",0,"Front Lights","22/01/20T09:07:13"]
["xx",0,"Back Yard Lights","22/01/20T09:07:13"]
["xx",0,"Back Yard Lights","22/01/20T09:08:13"]
["xx",0,"Front Lights","22/01/20T09:08:13"]
["xx",0,"Back Yard Lights","22/01/20T09:09:13"]
["xx",0,"Front Lights","22/01/20T09:09:13"]
["xx",0,"Back Yard Lights","22/01/20T09:10:13"]
["xx",0,"Front Lights","22/01/20T09:10:13"]
["xx",0,"Front Lights","22/01/20T09:11:13"]
["xx",0,"Back Yard Lights","22/01/20T09:11:13"]
["xx",0,"Front Lights","22/01/20T09:12:13"]
["xx",0,"Back Yard Lights","22/01/20T09:12:13"]
["xx",0,"Front Lights","22/01/20T09:13:13"]
["xx",0,"Back Yard Lights","22/01/20T09:13:13"]
["xx",0,"Front Lights","22/01/20T09:14:13"]
["xx",0,"Back Yard Lights","22/01/20T09:14:13"]
["xx",0,"Back Yard Lights","22/01/20T09:15:13"]
["xx",0,"Front Lights","22/01/20T09:15:13"]
["xx",0,"Back Yard Lights","22/01/20T09:16:13"]
["xx",0,"Front Lights","22/01/20T09:16:13"]
["xx",0,"Back Yard Lights","22/01/20T09:17:13"]
["xx",0,"Front Lights","22/01/20T09:17:13"]
["xx",0,"Back Yard Lights","22/01/20T09:18:13"]
["xx",0,"Front Lights","22/01/20T09:18:13"]
["xx",0,"Back Yard Lights","22/01/20T09:19:13"]
["xx",0,"Front Lights","22/01/20T09:19:13"]
["xx",0,"Front Lights","22/01/20T09:20:13"]
["xx",0,"Back Yard Lights","22/01/20T09:20:13"]
["xx",0,"Front Lights","22/01/20T09:21:13"]
["xx",0,"Back Yard Lights","22/01/20T09:21:13"]
["xx",0,"Front Lights","22/01/20T09:22:13"]
["xx",0,"Back Yard Lights","22/01/20T09:22:13"]
["xx",0,"Back Yard Lights","22/01/20T09:23:13"]
["xx",0,"Front Lights","22/01/20T09:23:13"]
["xx",0,"Front Lights","22/01/20T09:24:13"]
["xx",0,"Back Yard Lights","22/01/20T09:24:13"]
["xx",0,"Front Lights","22/01/20T09:25:13"]
["xx",0,"Back Yard Lights","22/01/20T09:25:13"]
["xx",0,"Front Lights","22/01/20T09:26:13"]
["xx",0,"Back Yard Lights","22/01/20T09:26:13"]
["xx",0,"Front Lights","22/01/20T09:27:13"]
["xx",0,"Back Yard Lights","22/01/20T09:27:13"]
