Date,Name,State
["19/01/2022, 14:55:42","Back Yard Lights",1]
["19/01/2022, 14:55:57","Front Lights",0]
["19/01/2022, 14:55:57","Back Yard Lights",1]
["19/01/2022, 14:55:58","Back Yard Lights",1]
["19/01/2022, 14:56:12","Back Yard Lights",1]
["19/01/2022, 14:56:27","Back Yard Lights",1]
["19/01/2022, 14:56:42","Back Yard Lights",1]
["19/01/2022, 14:56:57","Front Lights",0]
["19/01/2022, 14:56:57","Back Yard Lights",1]
["19/01/2022, 14:56:58","Back Yard Lights",1]
["19/01/2022, 14:57:12","Back Yard Lights",1]
["19/01/2022, 14:57:27","Back Yard Lights",1]
["19/01/2022, 14:57:42","Back Yard Lights",1]
["19/01/2022, 14:57:57","Front Lights",0]
["19/01/2022, 14:57:57","Back Yard Lights",1]
["19/01/2022, 14:57:58","Back Yard Lights",1]
["19/01/2022, 14:58:12","Back Yard Lights",1]
["19/01/2022, 14:58:27","Back Yard Lights",1]
["19/01/2022, 14:58:42","Back Yard Lights",1]
["19/01/2022, 14:58:57","Front Lights",0]
["19/01/2022, 14:58:57","Back Yard Lights",1]
["19/01/2022, 14:58:58","Back Yard Lights",1]
["19/01/2022, 14:59:12","Back Yard Lights",1]
["19/01/2022, 14:59:27","Back Yard Lights",1]
["19/01/2022, 14:59:42","Back Yard Lights",1]
["19/01/2022, 14:59:57","Front Lights",0]
["19/01/2022, 14:59:57","Back Yard Lights",1]
["19/01/2022, 14:59:58","Back Yard Lights",1]
["19/01/2022, 15:00:12","Back Yard Lights",1]
["19/01/2022, 15:00:27","Back Yard Lights",1]
["19/01/2022, 15:00:42","Back Yard Lights",1]
["19/01/2022, 15:00:57","Front Lights",0]
["19/01/2022, 15:00:57","Back Yard Lights",1]
["19/01/2022, 15:00:58","Back Yard Lights",1]
["19/01/2022, 15:01:12","Back Yard Lights",1]
["19/01/2022, 15:01:27","Back Yard Lights",1]
["19/01/2022, 15:01:42","Back Yard Lights",1]
["19/01/2022, 15:01:57","Front Lights",0]
["19/01/2022, 15:01:57","Back Yard Lights",1]
["19/01/2022, 15:01:58","Back Yard Lights",1]
["19/01/2022, 15:02:12","Back Yard Lights",1]
["19/01/2022, 15:02:27","Back Yard Lights",1]
["19/01/2022, 15:02:42","Back Yard Lights",1]
["19/01/2022, 15:02:57","Front Lights",0]
["19/01/2022, 15:02:57","Back Yard Lights",1]
["19/01/2022, 15:02:58","Back Yard Lights",1]
["19/01/2022, 15:03:12","Back Yard Lights",1]
["19/01/2022, 15:03:27","Back Yard Lights",1]
["19/01/2022, 15:03:42","Back Yard Lights",1]
["19/01/2022, 15:03:57","Front Lights",0]
["19/01/2022, 15:03:57","Back Yard Lights",1]
["19/01/2022, 15:03:58","Back Yard Lights",1]
["19/01/2022, 15:04:12","Back Yard Lights",1]
["19/01/2022, 15:04:27","Back Yard Lights",1]
["19/01/2022, 15:04:42","Back Yard Lights",1]
["19/01/2022, 15:04:57","Front Lights",0]
["19/01/2022, 15:04:57","Back Yard Lights",1]
["19/01/2022, 15:04:58","Back Yard Lights",1]
["19/01/2022, 15:05:12","Back Yard Lights",1]
["19/01/2022, 15:05:27","Back Yard Lights",1]
["19/01/2022, 15:05:42","Back Yard Lights",1]
["19/01/2022, 15:05:57","Front Lights",0]
["19/01/2022, 15:05:57","Back Yard Lights",1]
["19/01/2022, 15:05:58","Back Yard Lights",1]
["19/01/2022, 15:06:12","Back Yard Lights",1]
["19/01/2022, 15:06:27","Back Yard Lights",1]
["19/01/2022, 15:06:42","Back Yard Lights",1]
["19/01/2022, 15:06:57","Front Lights",0]
["19/01/2022, 15:06:57","Back Yard Lights",1]
["19/01/2022, 15:06:58","Back Yard Lights",1]
["19/01/2022, 15:07:12","Back Yard Lights",1]
["19/01/2022, 15:07:27","Back Yard Lights",1]
["19/01/2022, 15:07:42","Back Yard Lights",1]
["19/01/2022, 15:07:57","Front Lights",0]
["19/01/2022, 15:07:57","Back Yard Lights",1]
["19/01/2022, 15:07:58","Back Yard Lights",1]
["19/01/2022, 15:08:12","Back Yard Lights",1]
["19/01/2022, 15:08:27","Back Yard Lights",1]
["19/01/2022, 15:08:42","Back Yard Lights",1]
["19/01/2022, 15:08:57","Front Lights",0]
["19/01/2022, 15:08:57","Back Yard Lights",1]
["19/01/2022, 15:08:58","Back Yard Lights",1]
["19/01/2022, 15:09:12","Back Yard Lights",1]
["19/01/2022, 15:09:27","Back Yard Lights",1]
["19/01/2022, 15:09:42","Back Yard Lights",1]
["19/01/2022, 15:09:57","Front Lights",0]
["19/01/2022, 15:09:57","Back Yard Lights",1]
["19/01/2022, 15:09:58","Back Yard Lights",1]
["19/01/2022, 15:10:12","Back Yard Lights",1]
["19/01/2022, 15:10:27","Back Yard Lights",1]
["19/01/2022, 15:10:42","Back Yard Lights",1]
["19/01/2022, 15:10:57","Front Lights",0]
["19/01/2022, 15:10:57","Back Yard Lights",1]
["19/01/2022, 15:10:58","Back Yard Lights",1]
["19/01/2022, 15:11:12","Back Yard Lights",1]
["19/01/2022, 15:11:27","Back Yard Lights",1]
["19/01/2022, 15:11:42","Back Yard Lights",1]
["19/01/2022, 15:11:57","Front Lights",0]
["19/01/2022, 15:11:57","Back Yard Lights",1]
["19/01/2022, 15:11:58","Back Yard Lights",1]
["19/01/2022, 15:12:12","Back Yard Lights",1]
["19/01/2022, 15:12:27","Back Yard Lights",1]
["19/01/2022, 15:12:42","Back Yard Lights",1]
["19/01/2022, 15:12:57","Front Lights",0]
["19/01/2022, 15:12:57","Back Yard Lights",1]
["19/01/2022, 15:12:58","Back Yard Lights",1]
["19/01/2022, 15:13:12","Back Yard Lights",1]
["19/01/2022, 15:13:27","Back Yard Lights",1]
["19/01/2022, 15:13:42","Back Yard Lights",1]
["19/01/2022, 15:13:57","Front Lights",0]
["19/01/2022, 15:13:57","Back Yard Lights",1]
["19/01/2022, 15:13:58","Back Yard Lights",1]
["19/01/2022, 15:14:12","Back Yard Lights",1]
["19/01/2022, 15:14:27","Back Yard Lights",1]
["19/01/2022, 15:14:42","Back Yard Lights",1]
["19/01/2022, 15:14:57","Front Lights",0]
["19/01/2022, 15:14:57","Back Yard Lights",1]
["19/01/2022, 15:14:58","Back Yard Lights",1]
["19/01/2022, 15:15:12","Back Yard Lights",1]
["19/01/2022, 15:15:27","Back Yard Lights",1]
["19/01/2022, 15:15:42","Back Yard Lights",1]
["19/01/2022, 15:15:57","Front Lights",0]
["19/01/2022, 15:15:57","Back Yard Lights",1]
["19/01/2022, 15:15:58","Back Yard Lights",1]
["19/01/2022, 15:16:12","Back Yard Lights",1]
["19/01/2022, 15:16:27","Back Yard Lights",1]
["19/01/2022, 15:16:42","Back Yard Lights",1]
["19/01/2022, 15:16:57","Front Lights",0]
["19/01/2022, 15:16:57","Back Yard Lights",1]
["19/01/2022, 15:16:58","Back Yard Lights",1]
["19/01/2022, 15:17:12","Back Yard Lights",1]
["19/01/2022, 15:17:27","Back Yard Lights",1]
["19/01/2022, 15:17:42","Back Yard Lights",1]
["19/01/2022, 15:17:57","Front Lights",0]
["19/01/2022, 15:17:57","Back Yard Lights",1]
["19/01/2022, 15:17:58","Back Yard Lights",1]
["19/01/2022, 15:18:12","Back Yard Lights",1]
["19/01/2022, 15:18:27","Back Yard Lights",1]
["19/01/2022, 15:18:42","Back Yard Lights",1]
["19/01/2022, 15:18:57","Front Lights",0]
["19/01/2022, 15:18:57","Back Yard Lights",1]
["19/01/2022, 15:18:58","Back Yard Lights",1]
["19/01/2022, 15:19:12","Back Yard Lights",1]
["19/01/2022, 15:19:27","Back Yard Lights",1]
["19/01/2022, 15:19:42","Back Yard Lights",1]
["19/01/2022, 15:19:57","Front Lights",0]
["19/01/2022, 15:19:57","Back Yard Lights",1]
["19/01/2022, 15:19:58","Back Yard Lights",1]
["19/01/2022, 15:20:12","Back Yard Lights",1]
["19/01/2022, 15:20:27","Back Yard Lights",1]
